Geography,Stength,Weakness,borocd,Gini,Gini Change,Median Income,Median Income Change,Preschool Enrollment,School Enrollment,Neet,Percent HH with Kids,Percent HH with nonrelated resident kids,Meal Gaps,Homeless Kids Per 1000,Homeless Kids Count,Infant Mortality,Child Asthma Hospitalizations,homelessfunding,Percent Child Abuse Cases Investigated,Kids Index,Index Estimates,Community Performance
Bronx CD 001,Child Abuse,asthma,201,0.48,-7.53,21318.00,-1.39,50.50,70.21,32.31,40.00,5.82,7016611.00,33.90,929.00,6.60,112.00,270000.00,41.60,1.63,1.59,-0.04
Bronx CD 002,Income change,homeless kids,202,0.48,-7.53,21318.00,-1.39,50.50,70.21,32.31,40.00,5.82,7016611.00,34.68,539.00,7.80,88.00,0.00,42.00,1.61,1.56,-0.06
Bronx CD 003,Child Abuse,not related kids,203,0.49,-0.27,22343.00,-3.93,48.90,77.28,21.90,39.70,5.87,7552253.00,33.82,834.00,7.70,89.00,243972.00,35.70,1.22,1.09,-0.13
Bronx CD 004,Child Abuse,Preschool kids not in,204,0.47,2.24,25745.00,-4.50,48.00,75.57,24.70,36.40,6.06,6169139.00,24.68,1033.00,5.50,55.00,0.00,38.30,0.93,1.10,0.17
Bronx CD 005,Child Abuse,not related kids,205,0.48,1.11,24517.00,-11.84,47.60,74.92,21.00,37.00,6.18,6293361.00,25.75,970.00,5.40,55.00,0.00,37.20,0.89,1.20,0.31
Bronx CD 006,kids in school,homeless kids,206,0.49,-0.27,22343.00,-3.93,48.90,77.28,21.90,39.70,5.87,7552253.00,37.55,947.00,8.70,87.00,0.00,38.30,1.35,1.51,0.16
Bronx CD 007,income change,not related kids,207,0.48,4.55,30541.00,-10.51,42.60,71.10,25.75,35.10,5.73,4774531.00,16.88,637.00,3.90,59.00,0.00,34.10,0.82,0.80,-0.03
Bronx CD 008,meal gaps,not related kids,208,0.49,1.76,56877.00,0.41,70.40,80.59,14.40,26.50,2.35,2815584.00,5.02,108.00,4.10,30.00,0.00,37.60,-0.62,-0.23,0.38
Bronx CD 009,infant mortality,kids not in preschool,209,0.47,1.82,34779.00,-12.42,43.50,73.56,23.85,33.20,5.37,6120933.00,18.54,835.00,4.40,74.00,0.00,37.10,0.95,0.75,-0.20
Bronx CD 010,kids in school,income change,210,0.45,6.83,54685.00,-2.62,57.10,82.83,13.14,25.60,3.26,3045671.00,6.58,164.00,3.10,39.00,0.00,33.20,-0.45,-0.02,0.42
Bronx CD 011,income change,kids not in preschool,211,0.46,6.25,43503.00,-11.06,50.90,78.67,18.96,31.50,3.65,3930026.00,12.76,340.00,5.00,51.00,0.00,29.40,0.11,0.19,0.08
Bronx CD 012,kids in school,infant mortality,212,0.45,5.96,43541.00,-8.10,56.20,78.38,20.41,34.10,6.13,6056245.00,20.04,770.00,7.80,74.00,0.00,35.10,0.72,0.78,0.05
Brooklyn CD 001,kids in preschool,child abuse,301,0.51,3.67,50778.00,19.76,82.60,74.31,16.46,21.10,2.43,4473881.00,4.09,169.00,2.40,18.00,790000.00,56.70,-0.38,,
Brooklyn CD 002,kids in preschool,child abuse,302,0.53,-6.20,73290.00,8.85,74.10,78.56,16.11,20.60,2.94,3860880.00,9.63,150.00,2.70,50.00,0.00,45.60,-0.32,-0.56,-0.24
Brooklyn CD 003,kids in preschool,not related kids,303,0.52,2.57,36528.00,0.98,75.80,77.62,25.22,27.40,6.49,6353787.00,26.62,1012.00,5.00,54.00,206262.00,53.10,0.62,0.50,-0.12
Brooklyn CD 004,meal gaps,not related kids,304,0.48,2.17,38274.00,2.83,57.10,71.20,18.48,32.10,7.20,4612234.00,15.87,448.00,5.00,70.00,0.00,43.70,0.72,0.72,0.00
Brooklyn CD 005,child abuse,homeless kids,305,0.50,4.58,33700.00,-8.59,52.40,74.02,24.92,35.40,7.76,6372279.00,29.04,1471.00,7.80,50.00,920217.00,42.10,1.19,1.18,-0.02
